group,expert,innovation,aesthetics,value,surprise
1,1,2.0,5.0,3.0,2.0
1,2,3.0,3.0,3.0,3.0
1,3,4.0,4.0,4.0,3.0
1,4,4.0,5.0,4.0,4.0
1,5,,3.0,3.0,3.0
1,6,3.0,4.0,4.0,3.0
1,7,3.0,4.0,4.0,2.0
1,8,3.0,4.0,4.0,2.0
1,9,5.0,5.0,5.0,4.0
1,10,4.0,5.0,5.0,3.0
1,11,3.0,5.0,4.0,2.0
1,12,3.0,3.0,5.0,3.0
1,13,2.0,3.0,2.0,1.0
1,14,1.0,3.0,2.0,2.0
1,15,3.0,5.0,4.0,2.0
1,16,4.0,4.0,4.0,3.0
1,17,3.0,3.0,3.0,3.0
1,18,5.0,5.0,4.0,4.0
1,19,2.0,3.0,2.0,2.0
1,20,2.0,3.0,3.0,1.0
1,21,4.0,4.0,4.0,4.0
1,22,3.0,4.0,4.0,3.0
1,23,3.0,3.0,,2.0
1,24,3.0,5.0,5.0,2.0
1,25,4.0,4.0,5.0,3.0
1,26,4.0,4.0,4.0,3.0
1,27,4.0,5.0,4.0,4.0
1,28,5.0,5.0,5.0,4.0
1,29,2.0,4.0,4.0,1.0
1,30,5.0,5.0,3.0,2.0
1,31,2.0,4.0,3.0,2.0
1,32,5.0,5.0,4.0,4.0
1,33,3.0,4.0,4.0,2.0
2,1,3.0,3.0,2.0,1.0
2,2,4.0,4.0,4.0,4.0
2,3,4.0,5.0,5.0,4.0
2,4,4.0,5.0,4.0,4.0
2,5,5.0,5.0,5.0,5.0
2,6,4.0,5.0,5.0,4.0
2,7,3.0,3.0,3.0,2.0
2,8,4.0,4.0,4.0,3.0
2,9,5.0,4.0,5.0,4.0
2,10,4.0,4.0,4.0,3.0
2,11,3.0,5.0,4.0,2.0
2,12,5.0,4.0,3.0,3.0
2,13,3.0,4.0,3.0,2.0
2,14,1.0,2.0,2.0,1.0
2,15,3.0,5.0,4.0,3.0
2,16,4.0,4.0,4.0,3.0
2,17,4.0,4.0,5.0,4.0
2,18,5.0,5.0,5.0,4.0
2,19,4.0,5.0,2.0,2.0
2,20,4.0,4.0,4.0,3.0
2,21,2.0,4.0,4.0,2.0
2,22,4.0,4.0,4.0,3.0
2,23,4.0,2.0,3.0,2.0
2,24,4.0,4.0,4.0,2.0
2,25,5.0,5.0,5.0,4.0
2,26,4.0,5.0,3.0,4.0
2,27,3.0,5.0,4.0,3.0
2,28,3.0,4.0,4.0,3.0
2,29,,4.0,4.0,2.0
2,30,3.0,4.0,3.0,2.0
2,31,3.0,3.0,2.0,1.0
2,32,5.0,4.0,3.0,4.0
2,33,4.0,4.0,4.0,3.0
3,1,5.0,4.0,4.0,4.0
3,2,4.0,3.0,3.0,4.0
3,3,5.0,3.0,4.0,4.0
3,4,5.0,4.0,4.0,4.0
3,5,5.0,5.0,5.0,5.0
3,6,4.0,4.0,3.0,4.0
3,7,3.0,3.0,3.0,2.0
3,8,4.0,4.0,4.0,3.0
3,9,3.0,4.0,4.0,3.0
3,10,4.0,3.0,4.0,3.0
3,11,3.0,4.0,4.0,2.0
3,12,4.0,4.0,4.0,3.0
3,13,4.0,4.0,3.0,4.0
3,14,1.0,2.0,2.0,2.0
3,15,3.0,2.0,3.0,3.0
3,16,3.0,3.0,3.0,3.0
3,17,4.0,3.0,3.0,3.0
3,18,5.0,5.0,4.0,4.0
3,19,2.0,1.0,3.0,3.0
3,20,4.0,4.0,3.0,3.0
3,21,4.0,3.0,2.0,4.0
3,22,2.0,4.0,3.0,4.0
3,23,3.0,4.0,4.0,3.0
3,24,3.0,4.0,2.0,2.0
3,25,3.0,4.0,4.0,3.0
3,26,4.0,3.0,2.0,3.0
3,27,3.0,3.0,2.0,2.0
3,28,5.0,4.0,3.0,4.0
3,29,3.0,5.0,4.0,3.0
3,30,4.0,3.0,3.0,1.0
3,31,4.0,5.0,5.0,4.0
3,32,4.0,3.0,2.0,4.0
3,33,4.0,5.0,4.0,4.0
4,1,3.0,4.0,3.0,3.0
4,2,4.0,4.0,4.0,4.0
4,3,4.0,5.0,4.0,4.0
4,4,5.0,5.0,5.0,5.0
4,5,5.0,5.0,5.0,5.0
4,6,5.0,5.0,5.0,4.0
4,7,3.0,4.0,4.0,2.0
4,8,2.0,4.0,4.0,2.0
4,9,5.0,4.0,4.0,3.0
4,10,5.0,5.0,4.0,4.0
4,11,3.0,3.0,4.0,2.0
4,12,4.0,4.0,5.0,4.0
4,13,4.0,4.0,4.0,3.0
4,14,2.0,4.0,3.0,3.0
4,15,3.0,4.0,4.0,2.0
4,16,5.0,5.0,5.0,4.0
4,17,4.0,4.0,4.0,4.0
4,18,5.0,5.0,5.0,4.0
4,19,4.0,4.0,4.0,4.0
4,20,5.0,4.0,5.0,4.0
4,21,4.0,4.0,5.0,2.0
4,22,4.0,4.0,4.0,4.0
4,23,4.0,2.0,3.0,3.0
4,24,2.0,3.0,2.0,2.0
4,25,5.0,5.0,5.0,5.0
4,26,4.0,3.0,3.0,3.0
4,27,4.0,4.0,5.0,3.0
4,28,5.0,4.0,4.0,4.0
4,29,4.0,4.0,5.0,3.0
4,30,5.0,2.0,4.0,3.0
4,31,2.0,4.0,3.0,1.0
4,32,5.0,4.0,4.0,4.0
4,33,5.0,4.0,5.0,3.0
5,1,4.0,2.0,2.0,4.0
5,2,3.0,3.0,3.0,3.0
5,3,5.0,4.0,4.0,4.0
5,4,3.0,3.0,3.0,3.0
5,5,4.0,4.0,4.0,4.0
5,6,3.0,4.0,3.0,3.0
5,7,4.0,2.0,3.0,3.0
5,8,4.0,2.0,2.0,3.0
5,9,3.0,3.0,3.0,3.0
5,10,3.0,2.0,2.0,2.0
5,11,4.0,4.0,5.0,3.0
5,12,3.0,3.0,4.0,3.0
5,13,3.0,3.0,2.0,3.0
5,14,1.0,1.0,1.0,2.0
5,15,4.0,3.0,3.0,2.0
5,16,3.0,3.0,,3.0
5,17,2.0,2.0,3.0,2.0
5,18,5.0,5.0,4.0,4.0
5,19,1.0,1.0,1.0,1.0
5,20,5.0,4.0,4.0,4.0
5,21,4.0,2.0,1.0,4.0
5,22,2.0,2.0,4.0,4.0
5,23,4.0,2.0,2.0,4.0
5,24,3.0,4.0,3.0,2.0
5,25,4.0,3.0,3.0,3.0
5,26,2.0,2.0,2.0,4.0
5,27,2.0,2.0,1.0,1.0
5,28,3.0,3.0,3.0,3.0
5,29,2.0,4.0,,1.0
5,30,1.0,1.0,1.0,1.0
5,31,2.0,4.0,2.0,1.0
5,32,4.0,2.0,2.0,3.0
5,33,3.0,3.0,3.0,3.0
6,1,2.0,2.0,2.0,2.0
6,2,2.0,2.0,2.0,2.0
6,3,3.0,5.0,4.0,3.0
6,4,5.0,5.0,4.0,4.0
6,5,2.0,2.0,2.0,2.0
6,6,3.0,3.0,3.0,3.0
6,7,3.0,3.0,3.0,2.0
6,8,1.0,2.0,3.0,1.0
6,9,2.0,4.0,3.0,2.0
6,10,2.0,2.0,1.0,1.0
6,11,3.0,3.0,3.0,2.0
6,12,3.0,3.0,3.0,2.0
6,13,4.0,4.0,4.0,3.0
6,14,1.0,2.0,1.0,1.0
6,15,2.0,3.0,2.0,1.0
6,16,2.0,2.0,3.0,1.0
6,17,1.0,1.0,1.0,1.0
6,18,4.0,4.0,4.0,3.0
6,19,4.0,2.0,4.0,3.0
6,20,1.0,2.0,1.0,1.0
6,21,1.0,3.0,5.0,1.0
6,22,1.0,2.0,2.0,1.0
6,23,2.0,2.0,2.0,2.0
6,24,3.0,4.0,4.0,2.0
6,25,3.0,3.0,3.0,3.0
6,26,3.0,4.0,2.0,2.0
6,27,3.0,2.0,4.0,3.0
6,28,2.0,3.0,2.0,1.0
6,29,,4.0,,1.0
6,30,3.0,1.0,2.0,1.0
6,31,1.0,4.0,2.0,1.0
6,32,3.0,3.0,2.0,3.0
6,33,2.0,3.0,2.0,1.0
7,1,4.0,3.0,2.0,2.0
7,2,3.0,3.0,3.0,3.0
7,3,3.0,3.0,3.0,3.0
7,4,4.0,4.0,4.0,4.0
7,5,2.0,2.0,2.0,1.0
7,6,4.0,3.0,4.0,4.0
7,7,3.0,4.0,3.0,3.0
7,8,2.0,2.0,3.0,1.0
7,9,2.0,4.0,3.0,2.0
7,10,3.0,2.0,1.0,2.0
7,11,3.0,3.0,3.0,2.0
7,12,5.0,4.0,4.0,3.0
7,13,1.0,1.0,1.0,1.0
7,14,2.0,3.0,2.0,2.0
7,15,3.0,3.0,3.0,2.0
7,16,3.0,3.0,3.0,2.0
7,17,2.0,2.0,2.0,2.0
7,18,5.0,5.0,4.0,4.0
7,19,1.0,1.0,2.0,1.0
7,20,2.0,3.0,2.0,1.0
7,21,2.0,3.0,5.0,2.0
7,22,3.0,3.0,3.0,4.0
7,23,2.0,2.0,2.0,2.0
7,24,2.0,2.0,3.0,2.0
7,25,3.0,3.0,3.0,3.0
7,26,3.0,2.0,2.0,2.0
7,27,2.0,2.0,3.0,2.0
7,28,3.0,4.0,4.0,3.0
7,29,4.0,5.0,4.0,3.0
7,30,3.0,2.0,3.0,1.0
7,31,2.0,3.0,2.0,1.0
7,32,4.0,4.0,4.0,3.0
7,33,4.0,3.0,4.0,2.0
8,1,5.0,3.0,3.0,5.0
8,2,4.0,3.0,3.0,4.0
8,3,4.0,2.0,4.0,4.0
8,4,5.0,5.0,5.0,5.0
8,5,4.0,3.0,3.0,3.0
8,6,4.0,4.0,4.0,4.0
8,7,3.0,2.0,2.0,2.0
8,8,4.0,4.0,4.0,3.0
8,9,4.0,5.0,4.0,3.0
8,10,4.0,4.0,4.0,4.0
8,11,3.0,3.0,3.0,2.0
8,12,5.0,3.0,3.0,3.0
8,13,4.0,5.0,4.0,4.0
8,14,3.0,2.0,3.0,3.0
8,15,4.0,3.0,2.0,4.0
8,16,3.0,2.0,3.0,2.0
8,17,5.0,4.0,4.0,4.0
8,18,3.0,5.0,4.0,3.0
8,19,5.0,5.0,4.0,4.0
8,20,3.0,4.0,3.0,2.0
8,21,4.0,4.0,4.0,4.0
8,22,4.0,2.0,3.0,4.0
8,23,3.0,1.0,2.0,2.0
8,24,2.0,2.0,2.0,2.0
8,25,4.0,4.0,4.0,4.0
8,26,4.0,2.0,2.0,5.0
8,27,4.0,3.0,1.0,5.0
8,28,5.0,2.0,3.0,5.0
8,29,2.0,4.0,,2.0
8,30,,,3.0,5.0
8,31,2.0,1.0,2.0,1.0
8,32,4.0,3.0,2.0,3.0
8,33,3.0,4.0,3.0,4.0
9,1,2.0,3.0,3.0,3.0
9,2,4.0,5.0,5.0,4.0
9,3,4.0,4.0,4.0,3.0
9,4,5.0,5.0,5.0,5.0
9,5,4.0,2.0,3.0,3.0
9,6,4.0,4.0,4.0,4.0
9,7,2.0,2.0,3.0,2.0
9,8,2.0,2.0,2.0,1.0
9,9,3.0,4.0,3.0,3.0
9,10,4.0,3.0,2.0,3.0
9,11,3.0,3.0,3.0,2.0
9,12,5.0,3.0,4.0,3.0
9,13,4.0,4.0,4.0,3.0
9,14,2.0,3.0,2.0,2.0
9,15,3.0,2.0,2.0,2.0
9,16,2.0,2.0,2.0,1.0
9,17,3.0,3.0,3.0,3.0
9,18,5.0,5.0,4.0,4.0
9,19,1.0,1.0,1.0,1.0
9,20,2.0,3.0,3.0,1.0
9,21,3.0,3.0,5.0,3.0
9,22,2.0,2.0,3.0,2.0
9,23,2.0,2.0,2.0,2.0
9,24,3.0,3.0,3.0,2.0
9,25,3.0,3.0,3.0,3.0
9,26,4.0,4.0,3.0,3.0
9,27,3.0,2.0,3.0,2.0
9,28,3.0,1.0,2.0,3.0
9,29,3.0,,4.0,3.0
9,30,4.0,2.0,3.0,2.0
9,31,2.0,2.0,2.0,1.0
9,32,4.0,3.0,3.0,3.0
9,33,3.0,2.0,3.0,2.0
10,1,1.0,2.0,2.0,1.0
10,2,3.0,3.0,3.0,3.0
10,3,3.0,3.0,3.0,3.0
10,4,3.0,3.0,3.0,3.0
10,5,2.0,2.0,2.0,2.0
10,6,3.0,4.0,3.0,3.0
10,7,3.0,3.0,3.0,2.0
10,8,1.0,1.0,2.0,1.0
10,9,3.0,3.0,3.0,2.0
10,10,2.0,1.0,1.0,1.0
10,11,2.0,2.0,2.0,2.0
10,12,4.0,3.0,3.0,3.0
10,13,1.0,1.0,1.0,1.0
10,14,1.0,1.0,1.0,1.0
10,15,3.0,3.0,3.0,2.0
10,16,3.0,3.0,2.0,1.0
10,17,2.0,2.0,2.0,2.0
10,18,3.0,3.0,3.0,3.0
10,19,1.0,1.0,1.0,1.0
10,20,1.0,1.0,1.0,1.0
10,21,1.0,4.0,5.0,1.0
10,22,3.0,4.0,3.0,2.0
10,23,2.0,2.0,2.0,2.0
10,24,3.0,3.0,2.0,2.0
10,25,2.0,3.0,3.0,3.0
10,26,3.0,3.0,2.0,2.0
10,27,1.0,1.0,3.0,1.0
10,28,3.0,3.0,3.0,2.0
10,29,,3.0,3.0,1.0
10,30,1.0,1.0,1.0,1.0
10,31,1.0,1.0,1.0,1.0
10,32,4.0,3.0,3.0,3.0
10,33,2.0,3.0,2.0,2.0
11,1,4.0,4.0,4.0,4.0
11,2,3.0,2.0,3.0,3.0
11,3,4.0,4.0,4.0,4.0
11,4,4.0,4.0,4.0,4.0
11,5,3.0,2.0,2.0,2.0
11,6,4.0,3.0,3.0,3.0
11,7,3.0,3.0,3.0,3.0
11,8,1.0,1.0,3.0,1.0
11,9,4.0,4.0,4.0,4.0
11,10,4.0,4.0,3.0,3.0
11,11,3.0,3.0,3.0,2.0
11,12,3.0,2.0,3.0,2.0
11,13,2.0,4.0,3.0,2.0
11,14,2.0,3.0,2.0,2.0
11,15,3.0,3.0,3.0,2.0
11,16,3.0,3.0,3.0,3.0
11,17,3.0,3.0,3.0,3.0
11,18,5.0,5.0,5.0,5.0
11,19,3.0,3.0,2.0,2.0
11,20,3.0,3.0,2.0,2.0
11,21,3.0,4.0,3.0,3.0
11,22,3.0,2.0,3.0,2.0
11,23,,2.0,3.0,2.0
11,24,2.0,2.0,2.0,2.0
11,25,3.0,3.0,3.0,3.0
11,26,3.0,2.0,3.0,3.0
11,27,4.0,4.0,3.0,4.0
11,28,4.0,3.0,3.0,4.0
11,29,,5.0,4.0,3.0
11,30,4.0,4.0,3.0,3.0
11,31,2.0,3.0,3.0,1.0
11,32,4.0,3.0,2.0,4.0
11,33,4.0,4.0,4.0,3.0
12,1,4.0,4.0,3.0,3.0
12,2,5.0,4.0,5.0,4.0
12,3,4.0,5.0,4.0,4.0
12,4,5.0,5.0,5.0,5.0
12,5,3.0,4.0,3.0,3.0
12,6,4.0,4.0,5.0,4.0
12,7,4.0,3.0,4.0,4.0
12,8,3.0,4.0,3.0,3.0
12,9,5.0,4.0,4.0,4.0
12,10,5.0,5.0,4.0,4.0
12,11,3.0,4.0,3.0,2.0
12,12,4.0,3.0,4.0,4.0
12,13,4.0,5.0,4.0,4.0
12,14,2.0,2.0,2.0,1.0
12,15,4.0,4.0,3.0,3.0
12,16,3.0,3.0,3.0,2.0
12,17,4.0,3.0,4.0,4.0
12,18,5.0,5.0,4.0,4.0
12,19,2.0,3.0,2.0,2.0
12,20,3.0,4.0,4.0,2.0
12,21,4.0,5.0,5.0,3.0
12,22,4.0,3.0,5.0,4.0
12,23,4.0,2.0,4.0,4.0
12,24,4.0,4.0,4.0,3.0
12,25,4.0,4.0,4.0,4.0
12,26,4.0,2.0,3.0,4.0
12,27,4.0,3.0,1.0,4.0
12,28,4.0,4.0,3.0,4.0
12,29,4.0,4.0,4.0,3.0
12,30,1.0,4.0,1.0,5.0
12,31,2.0,2.0,2.0,1.0
12,32,5.0,4.0,3.0,4.0
12,33,3.0,3.0,3.0,3.0
13,1,2.0,1.0,1.0,3.0
13,2,3.0,2.0,3.0,3.0
13,3,4.0,3.0,4.0,3.0
13,4,3.0,3.0,3.0,3.0
13,5,2.0,2.0,2.0,2.0
13,6,3.0,3.0,4.0,3.0
13,7,3.0,2.0,3.0,2.0
13,8,2.0,2.0,3.0,2.0
13,9,3.0,3.0,3.0,2.0
13,10,3.0,2.0,2.0,2.0
13,11,3.0,2.0,3.0,2.0
13,12,5.0,4.0,4.0,4.0
13,13,4.0,2.0,4.0,3.0
13,14,1.0,1.0,1.0,1.0
13,15,1.0,1.0,1.0,1.0
13,16,2.0,2.0,2.0,2.0
13,17,3.0,3.0,3.0,3.0
13,18,3.0,3.0,3.0,3.0
13,19,2.0,1.0,1.0,4.0
13,20,1.0,1.0,1.0,1.0
13,21,1.0,2.0,4.0,2.0
13,22,4.0,4.0,4.0,5.0
13,23,3.0,2.0,3.0,3.0
13,24,3.0,3.0,2.0,4.0
13,25,4.0,3.0,4.0,3.0
13,26,3.0,1.0,2.0,2.0
13,27,3.0,3.0,5.0,4.0
13,28,3.0,2.0,3.0,4.0
13,29,,4.0,3.0,2.0
13,30,1.0,1.0,1.0,3.0
13,31,1.0,1.0,1.0,1.0
13,32,2.0,3.0,3.0,4.0
13,33,4.0,3.0,3.0,5.0
14,1,4.0,3.0,3.0,4.0
14,2,4.0,4.0,4.0,4.0
14,3,4.0,3.0,4.0,4.0
14,4,5.0,5.0,5.0,5.0
14,5,4.0,3.0,3.0,3.0
14,6,3.0,3.0,3.0,3.0
14,7,3.0,2.0,3.0,3.0
14,8,2.0,4.0,4.0,3.0
14,9,3.0,4.0,2.0,3.0
14,10,4.0,4.0,3.0,3.0
14,11,3.0,3.0,3.0,2.0
14,12,5.0,4.0,5.0,4.0
14,13,4.0,5.0,4.0,4.0
14,14,2.0,1.0,1.0,1.0
14,15,4.0,3.0,3.0,3.0
14,16,3.0,2.0,3.0,2.0
14,17,4.0,4.0,4.0,3.0
14,18,4.0,4.0,3.0,3.0
14,19,2.0,1.0,1.0,3.0
14,20,1.0,4.0,1.0,1.0
14,21,4.0,4.0,3.0,4.0
14,22,3.0,2.0,3.0,2.0
